SNP	Beta	SE	Pvalue	CHR
rs_sim_0	-0.0336128444870145	0.03146710024135	0.0285537826118407	22
rs_sim_1	0.0228982628416288	0.0293951325554989	0.0436064313323272	22
rs_sim_2	0.0321419047337021	0.0285859306091679	0.0260952947758072	22
rs_sim_3	-0.0027020086564564	0.0293645070080472	0.0926692580720895	22
rs_sim_4	0.033467872480376	0.0357133409594244	0.034878459684191	22
rs_sim_5	-0.0265347306842526	0.04482304398249	0.0553911715750795	22
rs_sim_6	-0.0166405026719565	0.0407577111964428	0.068310406009595	22
rs_sim_7	0.0016124157423348	0.0278947864192899	0.0953909781605141	22
rs_sim_8	-0.0155744281845748	0.0280032336336888	0.0578147558515391	22
rs_sim_9	0.0447914503365012	0.0335577777486461	0.0182077612663728	22
rs_sim_10	-0.0163628248502207	0.0345535374948758	0.0635862211170126	22
rs_sim_11	0.0021605684426647	0.0537439887020095	0.0967935993600314	22
rs_sim_12	-0.0051388599576992	0.0346496734374216	0.0882110829053368	22
rs_sim_13	0.0060954439785583	0.0298029909993163	0.0837960227377207	22
rs_sim_14	-0.005054636720674	0.0549335037455039	0.0926694495148822	22
rs_sim_15	0.0085280018421308	0.0261395372566647	0.0744263142231235	22
rs_sim_16	-0.0426780246430376	0.0536293937215261	0.0426226460396422	22
rs_sim_17	-2.0228194571566473	1.009085310978926	0.0045112647309559	22
rs_sim_18	0.0164614186920735	0.0247681996330767	0.050635539455774	22
rs_sim_19	-0.1609430930396454	0.5052402970519028	0.0750096168265566	22
rs_sim_20	0.0152152625390888	0.1020791125831026	0.0881523325395804	22
rs_sim_21	-0.0068454478005439	0.057521136951507	0.0905278952622507	22
rs_sim_22	0.005087759351439	0.0292301871090683	0.0861833654251427	22
rs_sim_23	0.0071395998616007	0.034877799662721	0.0837820610838974	22
rs_sim_24	0.0079698517537639	0.0469755795535343	0.0865291668935539	22
rs_sim_25	-0.052338101216639	0.0585667359945812	0.0371595704557005	22
rs_sim_26	0.0127564107465386	0.0335305033682105	0.0703649660009376	22
rs_sim_27	-0.0024313555213006	0.0278094610656669	0.0930337453909772	22
